sha256,methodSignature,trueLabel
a4c09faa6ac3dd98c3e4fc87641f3186a40166d07c55c1b992f5d245670f5891,"<android.app.Activity: boolean startActivityIfNeeded(android.content.Intent,int)>",SINK
6ad50d9cf346e67ddaa27613a04d6cd80dd9e82710b2fd4db93c474d09040ef3,"<android.hardware.camera2.DngCreator: void writeByteBuffer(java.io.OutputStream,android.util.Size,java.nio.ByteBuffer,long)>",SINK
00d6074b86f28ff7f3b41adfa09a3df5e6754ebaab15b8e229ba5ddc6a9cfcbc,"<android.util.Log: int e(java.lang.String,java.lang.String)>",SINK
d99d36898f829aa3316f6d83843563d45bb69da796d70673d44af4f0f4d88d42,"<android.content.ContextWrapper: void sendStickyOrderedBroadcastAsUser(android.content.Intent,android.os.UserHandle,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
eda54cefd871204309aa00b616ecc420119e24c9682da3d7b16bf95ad586ae00,"<android.content.pm.CrossProfileApps: void startActivity(android.content.Intent,android.os.UserHandle,android.app.Activity,android.os.Bundle)>",SINK
7ee3c24993404fc300e2c94b704632d4f8ee7e5d2a1268edc17957200a8872d5,"<android.database.sqlite.SQLiteQueryBuilder: int update(android.database.sqlite.SQLiteDatabase,android.content.ContentValues,java.lang.String,java.lang.String[])>",SINK
1c72214ee725578a016eb9f68a8f624bed66eb9c63ea472632df7540e2a9fa0b,"<android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)>",SINK
be8d82206a573bbead317abde064a7dd4c12b5b1215f207a771a4657119f8d72,"<android.content.ContextWrapper: void startActivity(android.content.Intent)>",SINK
0c30d8d026ab4214a6e99e67ae099ca2094158dbaed5f0d8fc342ecf41c1cb6c,"<android.content.ContextWrapper: void sendOrderedBroadcastAsUser(android.content.Intent,android.os.UserHandle,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
0b3acdfd5f5d1a9c4ef1dd6f558f5e4ed459137981ab1cab9ce1974835488a16,"<android.content.ContextWrapper: void sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
5bc6f7ac183fa8bcf3c2d57aed95a9064a4af6f33fd6bb08a6d3a9377e86c094,"<android.app.AlarmManager: void setExactAndAllowWhileIdle(int,long,android.app.PendingIntent)>",SINK
6f7fdfbba39bf75f4774748de8b357da2a4625f2f47102dfbde587e145b5b29a,"<android.database.sqlite.SQLiteDatabase: int updateWithOnConflict(java.lang.String,android.content.ContentValues,java.lang.String,java.lang.String[],int)>",SINK
9f2ccaa22f9625cd41cbfef9c3f531ed40ecaf06c051ac295a4c25cb822d5027,"<android.util.Log: int w(java.lang.String,java.lang.String)>",SINK
e6ab806c93076b1ab660ed36cbbc7b762512960c952f83ae8eb28aaca2cc8b8a,"<android.content.ContextWrapper: void sendBroadcast(android.content.Intent,java.lang.String,int)>",SINK
483980c36bff501095e7a4d71478f8f59bca4bc5d1af04ba35fda21b53121121,"<android.app.AlarmManager: void setExact(int,long,android.app.PendingIntent)>",SINK
077b8af1de374e2d40a8d54941592bb073dcfee437d2245de3f2b5af7aea5006,"<android.database.sqlite.SQLiteQueryBuilder: long insert(android.database.sqlite.SQLiteDatabase,android.content.ContentValues)>",SINK
80edd866cc127658e16d8dcc6b71f4a509994b2f24514a223a5d4df55489964d,"<android.content.Context: void sendBroadcastMultiplePermissions(android.content.Intent,java.lang.String[])>",SINK
3c36782d45bad1bc58d58117677f36c2b3dfe7d4817939a01fa33818b47ce16b,"<android.content.ContextWrapper: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.os.Bundle,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
9aac8a6e0f3135cb1668f9fb97257a4b31ce4fbf590b0113dc3502174d92454e,"<android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)>",SINK
e8f5249349d3ea641c818ef05da127221144ff9e0b71fac5e01659fdac9af0cf,"<android.appwidget.AppWidgetHostView: void updateAppWidgetOptions(android.os.Bundle)>",SINK
117b0c09a6abf4f32f2d13fe0e3a5514ca0e6ce4519f52b788a42fc4a6cd8d66,"<android.telephony.SmsManager: void sendDataMessage(java.lang.String,java.lang.String,short,byte[],android.app.PendingIntent,android.app.PendingIntent)>",SINK
ce6105474360535f6408b61306531ced3576fbcafd85d8b6c17670d59ecae6c3,"<android.content.res.AssetFileDescriptor$AutoCloseOutputStream: void write(byte[])>",SINK
abdd217191a52a9ddb62ff56c5a404599a56fb4b10aebd97a97d12cb5bf1731b,"<android.content.ContextWrapper: void sendOrderedBroadcast(android.content.Intent,java.lang.String,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
373cd3d1e5a70a62552d53fdd932dd6def8706db555e2d543438e0f5ddbddb28,"<android.telephony.CellBroadcastIntents: void sendSmsCbReceivedBroadcast(android.content.Context,android.os.UserHandle,android.telephony.SmsCbMessage,android.content.BroadcastReceiver,android.os.Handler,int,int)>",SINK
a15d4e4f7fe48d1fac716cda9fa37b6e798f4f5bab1143c2532df632ca23d553,"<android.content.ContextWrapper: void sendBroadcast(android.content.Intent)>",SINK
72e3feddb55fd457cc440db28a64560cba98e83488d4f9ac0486bc45eeff5859,"<android.content.res.AssetFileDescriptor$AutoCloseOutputStream: void write(int)>",SINK
33eed3ecdf57abc1c7cddef5b2c2272a201c0fa483f820d2544f6b9dd9ba2bee,"<android.content.IntentFilter: void writeToXml(org.xmlpull.v1.XmlSerializer)>",SINK
d0f778e08c1a78368a68bf206a0f82e005cde69edfa2e7de41a91174c5805099,"<android.database.sqlite.SQLiteDatabase: long insertOrThrow(java.lang.String,java.lang.String,android.content.ContentValues)>",SINK
987e2c0714aab13b5df72183e095026ad36ebc2dcf0d7745cdcda5a2342ac1d9,"<android.app.Activity: void startIntentSenderForResult(android.content.IntentSender,int,android.content.Intent,int,int,int)>",SINK
7d83ed6aebe0fd432db27c69604330afaa138334bfb31651528ebe04cd7f7b27,"<android.hardware.location.ContextHubClient: int sendMessageToNanoApp(android.hardware.location.NanoAppMessage)>",SINK
1c639599a51d02c74d9b6e7cdf60f8c8838c9d092b8ac7a93eda42a8cb88566a,"<android.content.ContextWrapper: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
76d1d62c891396978fde1688e0bdaa03df90f97125805d5694569325b3ca02e7,"<android.content.ContextWrapper: void sendOrderedBroadcast(android.content.Intent,java.lang.String)>",SINK
65aaa92bf8c969417bd4f13c6f44e5eb21bae5ec1d0caabd67a1a4d7d93f6621,"<android.app.AlarmManager: void setInexactRepeating(int,long,long,android.app.PendingIntent)>",SINK
a9901f22e4e1848cce43a0c6ab7c7ff9b2b38137c2a44c7aef84f3b60c6de535,"<android.content.Intent: int fillIn(android.content.Intent,int)>",SINK
3e37dfeb560299eded7499f7076a14cb759d6f01e742eddb6b1e0762a4e5707b,"<android.content.ContentProvider: int update(android.net.Uri,android.content.ContentValues,android.os.Bundle)>",SINK
d82ff0244ae61db64a5f8f04d825582cb63503042751fa178b70dab7534166b4,"<com.android.internal.logging.AndroidHandler: void publish(java.util.logging.LogRecord)>",SINK
f6c383416ee94e0cfb0d8c3f2bc999de8ca7617ee666efa8c0943f23e0ba6815,"<android.telephony.MmsManager: void sendMultimediaMessage(int,android.net.Uri,java.lang.String,android.os.Bundle,android.app.PendingIntent,long)>",SINK
a51cc9e451ee7a491d750f7228f38904940aa577f12da704c0fee76d9b035a13,"<android.telephony.SmsManager: void sendTextMessageWithoutPersisting(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)>",SINK
21022463e663efa1ea9f975d3d0df787f9706069a0fe5f3b0a5acc55d415738f,"<android.app.Activity: void startIntentSender(android.content.IntentSender,android.content.Intent,int,int,int)>",SINK
63cdb15510447369d5f5da54ceb9a6ecf283ab08b643b82a303515ca43caf1a1,"<android.util.Log: int i(java.lang.String,java.lang.String,java.lang.Throwable)>",SINK
17e7e6d0110ce5f78e422ed51f1987c71a0f3d50ff864f885034bef3c0d5f142,"<android.bluetooth.BluetoothGattServer: boolean sendResponse(android.bluetooth.BluetoothDevice,int,int,int,byte[])>",SINK
43850f99e695ca1dbc59fda393191237e686e105fa79240e4a24c1ed947f30af,"<android.util.Log: int d(java.lang.String,java.lang.String)>",SINK
ab03150900ffb9f57a15a32ae4a9f3e4bee1c32b7b69bdc31d1371ebc5b2afac,"<android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.List,java.util.List,java.util.List,long)>",SINK
8072cb019433fd9ddb0a65c1b14848f4305f153f37e193ff9dcd89b2256a22a5,"<android.content.Context: void sendOrderedBroadcast(android.content.Intent,int,java.lang.String,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,java.lang.String,android.os.Bundle,android.os.Bundle)>",SINK
ad435d2ca9070c8944113239effb6ba2f8dd66af3fbb9deecf902951fd067d27,"<android.content.IntentSender: void sendIntent(android.content.Context,int,android.content.Intent,android.content.IntentSender$OnFinished,android.os.Handler)>",SINK
b9a1602faad7f51974c9d06a8d4debebfcc78d4b391de280c9ed5301a40d219d,"<android.bluetooth.BluetoothMapClient: boolean sendMessage(android.bluetooth.BluetoothDevice,android.net.Uri[],java.lang.String,android.app.PendingIntent,android.app.PendingIntent)>",SINK
3e0a1f478698f5b1dd758296a1b536782fae223e3ae59568b697ce1564af5f2f,"<android.app.Instrumentation: android.app.Activity startActivitySync(android.content.Intent)>",SINK
7f9caafc8f3349a1181abd1a841b5f7a0239567f95f4c7985a35b36183dd3eea,"<android.telephony.ims.stub.ImsSmsImplBase: void sendSms(int,int,java.lang.String,java.lang.String,boolean,byte[])>",SINK
7c4e35d52b470fa3f12a8e2ca26ecf0583f05b1d140996642ff136a72dd5ec89,"<android.app.Activity: void startActivities(android.content.Intent[])>",SINK
13db9a67864a10b7967d2739a73362fa863b63fbf0b260499ebb0cd42686250d,"<java.net.MulticastSocket: void send(java.net.DatagramPacket,byte)>",SINK
54a34aedc4eb4032ea6d6c63bc2140c8aaf0eef46cb5f8fb9003e2f727ed5179,"<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>",SINK
518222719e68cdd570302a11573c0327d120222bcd0206f5df31905757e0af86,"<android.hardware.camera2.DngCreator: void writeImage(java.io.OutputStream,android.media.Image)>",SINK
16c612bffeeec0a79c6bc0c72ead52b7201681d2058d81481f4fc1d94aff93a9,"<android.util.Log: int w(java.lang.String,java.lang.String,java.lang.Throwable)>",SINK
dfc8c09d68c43c82d0cdf53f1cd41ab61be7edbcf50d6a640a14746fefe82e0e,"<android.media.midi.MidiReceiver: void send(byte[],int,int)>",SINK
42e0d8b24414a3935c6b041844aa0c5719e9fb1dc2e3986dd54e4601b430ac06,"<android.util.Log: int v(java.lang.String,java.lang.String,java.lang.Throwable)>",SINK
77c3712ee2a99cb2798fd22c4eea24bb9c1c689e786ae6d2c53c42b8c23be75f,"<android.nfc.cardemulation.HostApduService: void sendResponseApdu(byte[])>",SINK
dae11424179559e98b5f162af561e63f22b3cd64394335c89d1d01df2f481c48,"<android.nfc.NfcAdapter: void setNdefPushMessage(android.nfc.NdefMessage,android.app.Activity,int)>",SINK
5b909575a21fe8ca9560be0e5015901c52e46ad5b9ea172b24f4fc387c0b10b6,"<android.bluetooth.BluetoothAvrcpController: void sendGroupNavigationCmd(android.bluetooth.BluetoothDevice,int,int)>",SINK
1a24b1c28e30b07114d9414ed706dbefc6bdf4507d45dc46f71e4705d487ac1d,"<java.net.DatagramSocket: void send(java.net.DatagramPacket)>",SINK
29a09af1fb8569c9e2dede77ea8bc37079b0c50971718c068bd44316ff8708f3,"<android.app.Activity: void startActivityForResult(android.content.Intent,int,android.os.Bundle)>",SINK
b05fb4b33922b3e25291f46e8e5b20c6905b2273b8e6eb6b2a530d03a8169f7e,"<android.os.PersistableBundle: void writeToStream(java.io.OutputStream)>",SINK
32bf662bb5afafd0e9452ff2056521162c18c45c69f81be92f45a76aebbb29bd,"<android.database.sqlite.SQLiteDatabase: int update(java.lang.String,android.content.ContentValues,java.lang.String,java.lang.String[])>",SINK
e999057032feefb31a4e9d820a2a32bfce8016de27105e600209222d21a5fbe7,"<android.os.ParcelFileDescriptor: android.os.ParcelFileDescriptor dup(java.io.FileDescriptor)>",SINK
68711fd7c2236e51a60d7f3612bda674de1cd8506b6ad6bfd0034fca8b9072c4,"<android.util.Log: int w(java.lang.String,java.lang.Throwable)>",SINK
5f00777dfd92e9e0e4ef7b487ecaf129f9218ce55bef6b68cc2e36f80a0e2afe,"<android.bluetooth.BluetoothGatt: boolean writeCharacteristic(android.bluetooth.BluetoothGattCharacteristic)>",SINK
9812ab3423c46f1fc607774373e5a91c0f1bce03444c1f3f51795e314a4a265e,"<android.content.ContextWrapper: void sendStickyBroadcastAsUser(android.content.Intent,android.os.UserHandle,android.os.Bundle)>",SINK
296bcfdb509d2723907910211271d3ab61cd888923e13a65cfb5a495f4b5a4de,"<android.util.Log: int v(java.lang.String,java.lang.String)>",SINK
d6485e3d36275e8b87914549c79a3184361a94138b7de99090d6cbf0dd107ef2,"<android.app.Activity: void startActivityFromChild(android.app.Activity,android.content.Intent,int,android.os.Bundle)>",SINK
4c9e2ce07c583b58bec29f78aa08b2c2ed6c864feea854e2664dad04f61c0068,"<android.app.Activity: void startActivity(android.content.Intent,android.os.Bundle)>",SINK
18715987a8a12d695e07f4181f74bb79e652f66431167b91e0c3d2f1592e21a1,"<android.telephony.SmsManager: void sendMultipartTextMessageWithoutPersisting(java.lang.String,java.lang.String,java.util.List,java.util.List,java.util.List)>",SINK
519055eb46a0e908d34c5c3beaa1854873c73a0f5d69fb0b65f5cccaaadc350e,"<android.net.LocalSocket: void setFileDescriptorsForSend(java.io.FileDescriptor[])>",SINK
eb4b95f7c08333ab2d40e8d88ec2b7e80ed29bc9287b4e6d72daa9a293b724bf,"<java.net.URL: java.net.URLConnection openConnection()>",SINK
09f71bbce2bf695b8977b1760aaa2f12c28fb0c90a995fae9cb973ee18d8bd62,"<android.telephony.ims.stub.RcsSipOptionsImplBase: void sendCapabilityRequest(android.net.Uri,android.telephony.ims.RcsContactUceCapability,int)>",SINK
325bfafdcd9739d0e346f3a87f1d93c47357ac9505f38b4b79c82bcf6ab91818,"<android.util.Log: int i(java.lang.String,java.lang.String)>",SINK
333e6860aff35dfda128f0b1c4a1fd2cc3ef4d584328ec557c1f2407a3d6b67b,"<android.app.Instrumentation: void sendStringSync(java.lang.String)>",SINK
5a2a002ee534b3ec1042025cad8903fab532df11b3d90f975eb814966f3af771,"<android.bluetooth.BluetoothHidHost: boolean sendData(android.bluetooth.BluetoothDevice,java.lang.String)>",SINK
dfddce8ae50f2177eea373bb4b1ecbe9d5523aee7ef8a1ce55fc2b7de627b196,"<android.app.Fragment: void startActivity(android.content.Intent,android.os.Bundle)>",SINK
f9fda4883f5fff11e0286dec74fbbd1036459847f489eb897b009c1d4f32e662,"<android.content.ContextWrapper: void sendOrderedBroadcastAsUser(android.content.Intent,android.os.UserHandle,java.lang.String,int,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
d808a2d39bac97e5757f4ca69740fd95a24132ecdf6dc32b587648546719cf1a,"<android.app.Fragment: void startActivity(android.content.Intent)>",SINK
7ebdfead684519390746907d770c8ce014df168a727364c6b8c37454b130647e,"<android.nfc.NfcAdapter: void enableForegroundNdefPush(android.app.Activity,android.nfc.NdefMessage)>",SINK
bb55ac629e22479b4b18af2c68489fc13a2a227453201e9ed1a032b6e31daf37,"<android.app.AlarmManager: void set(int,long,long,long,android.app.PendingIntent,android.os.WorkSource)>",SINK
d0f68a496c61e1326f3ac3ae0eb28dfb896ae2d4498d81c72b97eea1252e7033,"<android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent,long)>",SINK
14723bfb0fa2e17780b15ab76c677464bd0833565e3b4fc553803fc89e8f379a,"<android.util.Log: int e(java.lang.String,java.lang.String,java.lang.Throwable)>",SINK
32b195543dc836d7b7cf3d401b33e4e00ca1bf663b6c1184186285880853a4ee,"<android.content.ContentResolver: int update(android.net.Uri,android.content.ContentValues,java.lang.String,java.lang.String[])>",SINK
8ed02c4af1c736fc00526336bfdfe9c49e9e758ac0b69c546a07e589825087f5,"<android.database.sqlite.SQLiteDatabase: long insert(java.lang.String,java.lang.String,android.content.ContentValues)>",SINK
b4db7476862ac0309785d423d223f035a91a0b542430f5782edf37b754a24d52,"<android.bluetooth.BluetoothGatt: boolean writeDescriptor(android.bluetooth.BluetoothGattDescriptor)>",SINK
fe55bcbd4ea052841cc4373205e2b94ab7adf71afe4ff6f19f4efcf81133e261,"<android.content.ContextWrapper: void startActivities(android.content.Intent[],android.os.Bundle)>",SINK
c492ad11abe7a4c55264b4cd96d35d2168825ff4f070c93443748fb1bd4a5a02,"<android.app.Activity: void startActivityFromFragment(android.app.Fragment,android.content.Intent,int,android.os.Bundle)>",SINK
8434c00177adfad4b99b6d0925f8c789603b897bd1fd96efce4a0d9be495a329,"<android.telephony.TelephonyManager: void sendVisualVoicemailSmsForSubscriber(int,java.lang.String,int,java.lang.String,android.app.PendingIntent)>",SINK
69593efc690da8b1694dd7b18b587f0852524cdbb37761dec4972758b51e912e,"<android.content.ContextWrapper: void sendBroadcastAsUser(android.content.Intent,android.os.UserHandle)>",SINK
0f47d5bcdc6e65732021d70a34237594b1ab8c4b402306b09a436cf3ee565289,"<android.database.sqlite.SQLiteDatabase: long insertWithOnConflict(java.lang.String,java.lang.String,android.content.ContentValues,int)>",SINK
4821745caa46656ac83910c5cea7cc72341775345190de7c61a757868e834723,"<android.telephony.TelephonyManager: void sendVisualVoicemailSms(java.lang.String,int,java.lang.String,android.app.PendingIntent)>",SINK
b1e4336edfac93a4a3d6931dfe1938921b7b2938655321a3c8dc251a95780720,"<android.content.ContextWrapper: void startIntentSender(android.content.IntentSender,android.content.Intent,int,int,int)>",SINK
cda48c7fadc9687e2bf62c68572456c618a0078823cfbe4d6bd1d3a27c8a6ed9,"<android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList,int,boolean,int)>",SINK
f0ef2ba785785941be3baaff85ee991905d0501b514240427915169dde486ab9,"<android.app.Activity: boolean startNextMatchingActivity(android.content.Intent)>",SINK
b08f099cb052d93cce9d355aa4746153d074ce077361c416d6128cd3f5223037,"<android.content.ContextWrapper: void startActivity(android.content.Intent,android.os.Bundle)>",SINK
abff21d29b775fd671dd2abe8780111e629a66349b34267d2f682bade703cf1b,"<android.util.LogWriter: void write(char[],int,int)>",SINK
44ed20f5c881e3e406fac3eb57c2e184c93aafde123e7bb002d24e284191c08c,"<android.media.session.MediaController: void sendCommand(java.lang.String,android.os.Bundle,android.os.ResultReceiver)>",SINK
ebcc7eb4d41143ee76c5c206fcf09c3ff8c72eac81dc0b17daaa9fc9668f6d89,"<android.util.Log: int println(int,java.lang.String,java.lang.String)>",SINK
341fbc34d8b0833b5a912b50e3aa68a89f01bfb86d831e85e9c48d8bdefb2af6,"<android.content.ContextWrapper: void sendBroadcast(android.content.Intent,java.lang.String,android.os.Bundle)>",SINK
83e7baff8a9e760de84936421f7e6bfbbc2abee7835de8f87dcaade21cb6eabb,"<android.content.res.AssetFileDescriptor$AutoCloseOutputStream: void write(byte[],int,int)>",SINK
61606f44cafcaf8bc279d1114f53e87e5683aea4f468a7baaf10211922c7cd81,"<android.app.AlarmManager: void setWindow(int,long,long,android.app.PendingIntent)>",SINK
9ec59024f20cb71fda01bc71bb4d4d54ae62fb858a76e5251c04b90ecc5f5692,"<android.app.Instrumentation: android.app.Activity newActivity(java.lang.Class,android.content.Context,android.os.IBinder,android.app.Application,android.content.Intent,android.content.pm.ActivityInfo,java.lang.CharSequence,android.app.Activity,java.lang.String,java.lang.Object)>",SINK
85faba0785fd99aaee4bbb6e6dd8e21a35343d62b2f5e6a1cde4ffc4f00dbab4,"<android.widget.RemoteViews: void setContentDescription(int,java.lang.CharSequence)>",SINK
b0b1eabbb2f9adf5055e96cbb06729e462f70a78464ee5288b454a8226be7838,"<android.provider.Browser: void sendString(android.content.Context,java.lang.String)>",SINK
027150dc879a7e86c8e21c9b6c18d95bbaf7463c5515cbac2460ad6f011fa223,"<android.app.Activity: void startActivityForResult(java.lang.String,android.content.Intent,int,android.os.Bundle)>",SINK
53607d0e94c2890d52be38616f357d6f6a843c7a1fb3aabc33b407f39264b6f1,"<android.telephony.SmsManager: void sendMultimediaMessage(android.content.Context,android.net.Uri,java.lang.String,android.os.Bundle,android.app.PendingIntent)>",SINK
9cfef8fff90b5e953f9ff3f30c1510b73e020ed21a4a34e6c35f93bbaae69604,"<android.telephony.VisualVoicemailService: void sendVisualVoicemailSms(android.content.Context,android.telecom.PhoneAccountHandle,java.lang.String,short,java.lang.String,android.app.PendingIntent)>",SINK
3aa30ab8d57d59de4ce575dd629c4d1065eb217f78104d3367057032711a9fd6,"<android.app.Fragment: void startActivityForResult(android.content.Intent,int)>",SINK
cf11bad705a4c7113a6ac58c358e362b16ceeae8d9e159c0dcf702365cf57b22,"<android.view.inputmethod.InputMethodManager: void sendAppPrivateCommand(android.view.View,java.lang.String,android.os.Bundle)>",SINK
895c9ee09811a502dc9afc5098076f11c8317d804789a264c6a84cc6cbfb9bc7,"<android.app.Activity: void startActivityFromChild(android.app.Activity,android.content.Intent,int)>",SINK
9d1864f4a90022e2ddf475f049cb9c061a23c38e49e03fd97f5218f65ddf2749,"<android.location.Location: double getAltitude()>",SOURCE
99bd25979bbb62d190a1baa665312c3fa27a66d2a77f3e857aa1ca60a4c35195,"<android.provider.Telephony$Sms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[])>",SOURCE
b0140a49bdeaeb3e4434458780ef644776ea3418ffdecccc8c7269f48a69bb4c,"<android.telephony.TelephonyManager: java.util.List getNeighboringCellInfo()>",SOURCE
0375a49835d31ba5bc3c1b74ba778a8cc58cde0acc3e0cd6cd3c0365616c2f50,"<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int,boolean)>",SOURCE
75d70fcf6ecefce320ec123bfc8a2ed3b2a030d83a95ed0c16c2b37d1628f7f3,"<android.telephony.TelephonyManager: java.lang.String getMeid(int)>",SOURCE
dd99ee5af5628bfe4a4ec9624b3d907a0ffe9d42d85df45203d23d48b484372b,"<android.telephony.CellIdentityGsm: int getLac()>",SOURCE
6ffe892e94a603c54a7d895f93172471263d4cbc5f54f3c123ce0da9840aa04f,"<android.telephony.TelephonyManager: int getPhoneType()>",SOURCE
f6af6ec1d37c2621729eeadcb5460aefde0508dec73d27fae766d50623b67aee,"<android.telephony.SubscriptionInfo: java.lang.String getCountryIso()>",SOURCE
e07976b4686110371341dd1ad553edd84f2dedb798cf2e306b50083be4e16e19,"<android.telephony.PreciseDataConnectionState: java.lang.String toString()>",SOURCE
2d0498f6e75b88d3f162c7cfbab57da0e1e89597e00408121167487eb5ec72d2,"<android.hardware.location.GeofenceHardwareRequestParcelable: double getLongitude()>",SOURCE
9247aa22b646a959525d20e34c3685a39b7e91ad25e26e5136ed74fb8ade1a6c,"<android.hardware.usb.UsbDevice: java.lang.String getDeviceName()>",SOURCE
27e77538516fda6b4ccdf447e65fdfa76a727c06db1bc1bc4a7e3cd0198fa5cb,"<android.media.AudioRecord: int getAudioSource()>",SOURCE
34ae11acc350ae7f26ca2f37630ad0cc343db1057639203d4f08cd977ae72e51,"<android.hardware.Sensor: int getType()>",SOURCE
7d3fd3723b1bc3f1c32f99d7a6da6f598668776708cf105eae891a3df1de88c2,"<android.hardware.SensorManager: int getSensors()>",SOURCE
